GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-svc,com.catalogix.user.controller,UserController,0,55,0,2,0,16,0,6,0,5
user-svc,com.catalogix.user.controller,HealthController,6,0,0,0,2,0,2,0,2,0
user-svc,com.catalogix.user.model,User,12,31,0,0,5,14,1,9,1,9
user-svc,com.catalogix.user.security,RateLimiterFilter,81,107,8,4,17,27,9,5,3,5
user-svc,com.catalogix.user.security,RateLimiterFilter.RequestCounter,0,9,0,0,0,4,0,1,0,1
user-svc,com.catalogix.user.exception,GlobalExceptionHandler,86,61,2,0,15,11,3,3,2,3
user-svc,com.catalogix.user.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
user-svc,com.catalogix.user,UserSvcApplication,5,3,0,0,2,1,1,1,1,1
user-svc,com.catalogix.user.config,PasswordConfig,7,0,0,0,2,0,2,0,2,0
user-svc,com.catalogix.user.config,CorsConfig.new WebMvcConfigurer() {...},46,0,0,0,7,0,2,0,2,0
user-svc,com.catalogix.user.config,CorsConfig,23,0,0,0,5,0,3,0,3,0
user-svc,com.catalogix.user.svc,UserSvc,0,129,0,6,0,26,0,12,0,9
user-svc,com.catalogix.user.dto,CreateUserRequest,0,24,0,0,0,11,0,7,0,7
user-svc,com.catalogix.user.dto,UserResponse,15,21,0,0,4,8,4,4,4,4
user-svc,com.catalogix.user.dto,LoginRequest,0,17,0,0,0,6,0,5,0,5
